Item,Price,Ad ID,Location,Model,Details
 Royal Enfield Classic 34800 Kms 2013 year ,80000," Added via phone at 10:34 am, Ad ID: 1222512677 "," Gaothan Kalyan, Mumbai ", Royal Enfield Classic 34800 Kms 2013 year ," Brand: Royal Enfield Model: Classic Year: 2013 KM Driven: 34,800 km "
 2010 Yamaha FZ 45000 Kms ,30000," Added via phone at 10:35 am, Ad ID: 1218056853 "," Ushma Nagar, Mumbai ", 2010 Yamaha FZ 45000 Kms ," Brand: Yamaha Model: FZ Year: 2010 KM Driven: 45,000 km "
 2017 KTM 390 Duke ABS 2000 Kms ,225000," Added via phone at 10:36 am, Ad ID: 1222513451 "," Babulnath, Mumbai ", 2017 KTM 390 Duke ABS 2000 Kms ," Brand: KTM Model: 390 Duke ABS Year: 2017 KM Driven: 2,000 km "
 Honda Stunner ,25000," Added at 10:37 am, Ad ID: 1222513975 "," Dahisar East, Mumbai ", Honda Stunner ," Brand: Honda Model: CBF Stunner Year: 2010 KM Driven: 56,000 km "
 1987 Royal Enfield Bullet 76000 Kms ,80000," Added via phone on 28 May, Ad ID: 1221141537 "," Bhandup West, Mumbai ", 1987 Royal Enfield Bullet 76000 Kms ," Brand: Royal Enfield Model: Bullet Year: 1987 KM Driven: 76,000 km "
 2016 Standard 500 8000 Kms BULLET RAJA Bikes MULUND ,135000," Added via phone on 28 May, Ad ID: 1213751377 "," Mulund West, Mumbai ", 2016 Standard 500 8000 Kms BULLET RAJA Bikes MULUND ," Brand: Royal Enfield Model: Classic Year: 2016 KM Driven: 8,000 km "
 Honda CB 25000 Kms 2015 year ,50000," Added via phone on 28 May, Ad ID: 1221141603 "," Khar East, Mumbai ", Honda CB 25000 Kms 2015 year ," Brand: Honda Model: CB Year: 2015 KM Driven: 25,000 km "
 2005 Hero Honda Passion 20000 Kms ,13999," Added via phone on 28 May, Ad ID: 1221138707 "," Mulund West, Mumbai ", 2005 Hero Honda Passion 20000 Kms ," Brand: Hero Honda Model: Passion Year: 2005 KM Driven: 20,000 km "
 Bajaj ns 200 9900 Kms 2017 year ,95000," Added via phone on 28 May, Ad ID: 1221142015 "," Malad West, Mumbai ", Bajaj ns 200 9900 Kms 2017 year ," Brand: Bajaj Model: Pulsar Year: 2017 KM Driven: 9,900 km "
 2015 Bajaj Pulsar 17000 Kms ,65000," Added via phone on 28 May, Ad ID: 1221143179 "," Malad West, Mumbai ", 2015 Bajaj Pulsar 17000 Kms ," Brand: Bajaj Model: Pulsar Year: 2015 KM Driven: 17,000 km "
 2015 Hero Honda Others 29000 Kms ,42000," Added via phone on 28 May, Ad ID: 1221080895 "," Worli, Mumbai ", 2015 Hero Honda Others 29000 Kms ," Brand: Hero Honda Model: Others Year: 2015 KM Driven: 29,000 km "
 2012 Hero Honda Passion 30184 Kms ,32500," Added via phone on 28 May, Ad ID: 1221080879 "," Kandivali West, Mumbai ", 2012 Hero Honda Passion 30184 Kms ," Brand: Hero Honda Model: Passion Year: 2012 KM Driven: 30,184 km "
 2011 Bajaj Pulsar 20000 Kms ,33000," Added via phone on 28 May, Ad ID: 1221081523 "," Mulund West, Mumbai ", 2011 Bajaj Pulsar 20000 Kms ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 20,000 km "
 2013 Hero Karizma 25646 Kms ,45000," Added via phone on 28 May, Ad ID: 1221081145 "," Dhanayjay And Bhadarali, Mumbai ", 2013 Hero Karizma 25646 Kms ," Brand: Hero Model: Karizma Year: 2013 KM Driven: 25,646 km "
 2011 Bajaj Others 30000 Kms ,20000," Added via phone on 28 May, Ad ID: 1221082241 "," Boisar, Mumbai ", 2011 Bajaj Others 30000 Kms ," Brand: Bajaj Model: Others Year: 2011 KM Driven: 30,000 km "
 Honda CB 16108 Kms 2016 year ,49000," Added via phone on 28 May, Ad ID: 1221041015 "," Ghatkopar West, Mumbai ", Honda CB 16108 Kms 2016 year ," Brand: Honda Model: CB Year: 2016 KM Driven: 16,108 km "
 Bajaj Pulsar 45000 Kms 2009 year ,18000," Added via phone on 28 May, Ad ID: 1221039933 "," Virar East, Mumbai ", Bajaj Pulsar 45000 Kms 2009 year ," Brand: Bajaj Model: Pulsar Year: 2009 KM Driven: 45,000 km "
 2015 KTM Duke 200 3600 Kms exchange with rc200 ,110000," Added via phone on 29 May, Ad ID: 1215967817 "," Grant Road Area, Mumbai ", 2015 KTM Duke 200 3600 Kms exchange with rc200 ," Brand: KTM Model: Duke 200 Year: 2015 KM Driven: 3,600 km "
 2010 Bajaj Avenger 30000 Kms ,26999," Added via phone on 29 May, Ad ID: 1221498097 "," Mahim, Mumbai ", 2010 Bajaj Avenger 30000 Kms ," Brand: Bajaj Model: Avenger Year: 2010 KM Driven: 30,000 km "
 EMI Available minimum Downpayment 2015 June Bajaj RS 200 ABS model ,86000," Added via phone at 12:41 am, Ad ID: 1145214133 "," Kandivali West, Mumbai ", EMI Available minimum Downpayment 2015 June Bajaj RS 200 ABS model ," Brand: Bajaj Model: Others Year: 2015 KM Driven: 16,000 km "
 2016 Honda CB 8000 Kms ,45000," Added via phone on 29 May, Ad ID: 1221500937 "," Goregaon West, Mumbai ", 2016 Honda CB 8000 Kms ," Brand: Honda Model: CB Year: 2016 KM Driven: 8,000 km "
 Hi More Bike Are Available. Years 2008 To 2018 ,22000," Added via phone on 27 May, Ad ID: 1172924187 "," Borivali East, Mumbai ", Hi More Bike Are Available. Years 2008 To 2018 , Brand: Other Brands Year: 2008 KM Driven: 786 km 
 Bajaj Others 12000 Kms 2016 year ,55000," Added via phone on 29 May, Ad ID: 1221500157 "," Gokuldham, Mumbai ", Bajaj Others 12000 Kms 2016 year ," Brand: Bajaj Model: Others Year: 2016 KM Driven: 12,000 km "
 Hero Honda Passion 30354 Kms 2003 year ,15500," Added via phone on 27 May, Ad ID: 1220744143 "," Apollo Bunder, Mumbai ", Hero Honda Passion 30354 Kms 2003 year ," Brand: Hero Honda Model: Passion Year: 2003 KM Driven: 30,354 km "
 2007 TVS Star City Plus 22600 Kms ,14000," Added via phone on 27 May, Ad ID: 1220744811 "," Dahisar East, Mumbai ", 2007 TVS Star City Plus 22600 Kms ," Brand: TVS Model: Star City Plus Year: 2007 KM Driven: 22,600 km "
 2006 Hero Honda Passion 59000 Kms ,10000," Added via phone on 27 May, Ad ID: 1220745849 "," Bandra West, Mumbai ", 2006 Hero Honda Passion 59000 Kms ," Brand: Hero Honda Model: Passion Year: 2006 KM Driven: 59,000 km "
 1982 Yamaha Others 99 Kms ,275000," Added via phone on 27 May, Ad ID: 1220753881 "," Vishal hall, Mumbai ", 1982 Yamaha Others 99 Kms , Brand: Yamaha Model: Others Year: 1982 KM Driven: 99 km 
 2013 Yamaha Fazer 34000 Kms ,50000," Added via phone on 27 May, Ad ID: 1220752811 "," Kashimira, Mumbai ", 2013 Yamaha Fazer 34000 Kms ," Brand: Yamaha Model: Fazer Year: 2013 KM Driven: 34,000 km "
 Royal Enfield Continental GT 9500 Kms 2014 year ,140000," Added via phone on 25 Sep, Ad ID: 1133558283 "," Apollo Bunder, Mumbai ", Royal Enfield Continental GT 9500 Kms 2014 year ," Brand: Royal Enfield Model: Continental GT Year: 2014 KM Driven: 9,500 km "
" Hi this is aMatchless 350cc,its a ",325000," Added via phone on 19 Aug, Ad ID: 1120412677 "," Santacruz East, Mumbai "," Hi this is aMatchless 350cc,its a "," Brand: Other Brands Year: 1944 KM Driven: 6,731 km "
 Honda CB 27130 Kms 2012 year ,40000," Added via phone on 27 Sep, Ad ID: 1129243597 "," Girgaum, Mumbai ", Honda CB 27130 Kms 2012 year ," Brand: Honda Model: CB Year: 2012 KM Driven: 27,130 km "
 2015 Suzuki Gixxer 13380 Kms ,51000," Added via phone on 27 May, Ad ID: 1220742365 "," Mumbai Central, Mumbai ", 2015 Suzuki Gixxer 13380 Kms ," Brand: Suzuki Model: Gixxer Year: 2015 KM Driven: 13,380 km "
 2006 Bajaj Avenger 30000 Kms ,18000," Added via phone on 27 May, Ad ID: 1217942721 "," Kalbadevi, Mumbai ", 2006 Bajaj Avenger 30000 Kms ," Brand: Bajaj Model: Avenger Year: 2006 KM Driven: 30,000 km "
 2011 Honda CBR 17563 Kms ,65000," Added via phone on 23 Aug, Ad ID: 1069830011 "," Kurla West, Mumbai ", 2011 Honda CBR 17563 Kms ," Brand: Honda Model: CBR Year: 2011 KM Driven: 17,563 km "
 2017 Mew Mid Size Dirt Bikes 125 Cc Aircooled 17 X 14 Tires Offroad. ,85000," Added on 6 Sep, Ad ID: 1126508351 "," Dadar West, Mumbai ", 2017 Mew Mid Size Dirt Bikes 125 Cc Aircooled 17 X 14 Tires Offroad. , Brand: Other Brands Year: 2017 KM Driven: 20 km 
 2004 Bajaj CT 100 20000 Kms ,11500," Added via phone on 10 Sep, Ad ID: 1127868469 "," Mankhurd, Mumbai ", 2004 Bajaj CT 100 20000 Kms ," Brand: Bajaj Model: CT 100 Year: 2004 KM Driven: 20,000 km "
 Royal enfield EFI system used spares ,5500," Added on 12 Sep, Ad ID: 952344001 "," Borivali West, Mumbai ", Royal enfield EFI system used spares , Brand: Royal Enfield Model: Classic Year: 2012 KM Driven: 500 km 
 Honda CB 38000 Kms 2014 year ,48000," Added via phone on 13 Sep, Ad ID: 1128939613 "," Mandvi, Mumbai ", Honda CB 38000 Kms 2014 year ," Brand: Honda Model: CB Year: 2014 KM Driven: 38,000 km "
 Royal Enfield Thunderbird 12000 Kms 2013 year ,139999," Added via phone on 15 Sep, Ad ID: 1129753139 "," Kashimira, Mumbai ", Royal Enfield Thunderbird 12000 Kms 2013 year ," Brand: Royal Enfield Model: Thunderbird Year: 2013 KM Driven: 12,000 km "
 Honda cbr 250r Vip no 7863 rs 85000 ,85000," Added via phone on 13 Sep, Ad ID: 986370165 "," Powai, Mumbai ", Honda cbr 250r Vip no 7863 rs 85000 ," Brand: Honda Model: CBR Year: 2012 KM Driven: 44,000 km "
 I Am Looking To Buy Bajaj Kb 100 Rtz ,10000," Added via phone on 16 Sep, Ad ID: 1129890393 "," Vikhroli East, Mumbai ", I Am Looking To Buy Bajaj Kb 100 Rtz , Brand: Bajaj Model: Others Year: 1995 KM Driven: 1 km 
 Royal-enfield MH-02-W2572 ,125000," Added via phone on 19 Sep, Ad ID: 1025549815 "," Dombivli East, Mumbai ", Royal-enfield MH-02-W2572 ," Brand: Royal Enfield Model: Bullet Year: 1997 KM Driven: 3,550 km "
 2014 Honda Dream Yuga 4046 Kms ,31500," Added via phone on 22 Sep, Ad ID: 1119297717 "," Bandra West, Mumbai ", 2014 Honda Dream Yuga 4046 Kms ," Brand: Honda Model: Dream Yuga Year: 2014 KM Driven: 4,046 km "
 Bajaj Avenger 9000 Kms 2014 year ,45000," Added via phone on 23 Sep, Ad ID: 1132546755 "," Bhandup West, Mumbai ", Bajaj Avenger 9000 Kms 2014 year ," Brand: Bajaj Model: Avenger Year: 2014 KM Driven: 20,000 km "
 2012 Bajaj Pulsar 16500 Kms ,45000," Added via phone on 1 Oct, Ad ID: 1112729013 "," Goregaon East, Mumbai ", 2012 Bajaj Pulsar 16500 Kms ," Brand: Bajaj Model: Pulsar Year: 2012 KM Driven: 16,500 km "
 Pls read description ,5000," Added via phone on 7 Sep, Ad ID: 1102090637 "," Bandra West, Mumbai ", Pls read description ," Brand: Suzuki Model: Others Year: 1989 KM Driven: 59,852 km "
 2002 Hero Honda Ambition 10000 Kms ,9997," Added via phone on 15 Oct, Ad ID: 1137735041 "," Jogeshwari West, Mumbai ", 2002 Hero Honda Ambition 10000 Kms ," Brand: Hero Honda Model: Ambition Year: 2002 KM Driven: 10,000 km "
 Honda Others 30000 Kms 2010 year ,29500," Added via phone on 11 Oct, Ad ID: 1135994119 "," Jogeshwari West, Mumbai ", Honda Others 30000 Kms 2010 year ," Brand: Honda Model: Others Year: 2010 KM Driven: 30,000 km "
 2010 Yamaha FZ 23000 Kms ,30000," Added via phone on 10 Oct, Ad ID: 1139075037 "," Jogeshwari–Vikhroli Link Road (JVLR), Mumbai ", 2010 Yamaha FZ 23000 Kms ," Brand: Yamaha Model: FZ Year: 2010 KM Driven: 23,000 km "
 Royal Enfield Bullet 25000 Kms 1996 year ,120000," Added via phone on 18 Oct, Ad ID: 1027625939 "," Khar East, Mumbai ", Royal Enfield Bullet 25000 Kms 1996 year ," Brand: Royal Enfield Model: Bullet Year: 1996 KM Driven: 25,000 km "
 2015 Honda Others 47800 Kms ,35000," Added via phone on 3 Oct, Ad ID: 1136531419 "," Jogeshwari West, Mumbai ", 2015 Honda Others 47800 Kms ," Brand: Honda Model: Others Year: 2015 KM Driven: 47,800 km "
 2016 Bajaj Pulsar 10000 Kms ,78999," Added via phone on 13 Oct, Ad ID: 1140105029 "," Borivali East, Mumbai ", 2016 Bajaj Pulsar 10000 Kms ," Brand: Bajaj Model: Pulsar Year: 2016 KM Driven: 10,000 km "
 Yamaha Fazer 13000 Kms 2010 year ,50000," Added via phone on 12 Oct, Ad ID: 1130724731 "," Chinch Bunder, Mumbai ", Yamaha Fazer 13000 Kms 2010 year ," Brand: Yamaha Model: Fazer Year: 2010 KM Driven: 13,000 km "
 Bajaj Avenger Cruise 220 ,86000," Added on 19 Oct, Ad ID: 1139799009 "," Tardeo, Mumbai ", Bajaj Avenger Cruise 220 , Brand: Bajaj Model: Avenger Year: 2017 KM Driven: 520 km 
 2004 TVS Others 24000 Kms ,13000," Added via phone on 29 Oct, Ad ID: 1141830593 "," Jogeshwari West, Mumbai ", 2004 TVS Others 24000 Kms ," Brand: TVS Model: Others Year: 2004 KM Driven: 54,000 km "
 Bajaj Pulsar 30000 Kms 2011 year ,72000," Added via phone on 5 Oct, Ad ID: 1137059903 "," Chembur, Mumbai ", Bajaj Pulsar 30000 Kms 2011 year ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 30,000 km "
 Bajaj Discover 45000 Kms 2011 year ,25000," Added via phone on 28 Oct, Ad ID: 1145312541 "," Byculla, Mumbai ", Bajaj Discover 45000 Kms 2011 year ," Brand: Bajaj Model: Discover Year: 2011 KM Driven: 45,000 km "
 Honda Others 4000 Kms 2013 year ,28000," Added via phone on 26 Oct, Ad ID: 1144534661 "," Mankhurd, Mumbai ", Honda Others 4000 Kms 2013 year ," Brand: Honda Model: Others Year: 2013 KM Driven: 4,000 km "
 2013 Bajaj Pulsar 20000 Kms ,38000," Added via phone on 6 Nov, Ad ID: 1142836897 "," Govandi, Mumbai ", 2013 Bajaj Pulsar 20000 Kms ," Brand: Bajaj Model: Pulsar Year: 2013 KM Driven: 20,000 km "
