Item,Price,Ad ID,Location,Model,Details
 Honda CB 25874 Kms 2013 year ,26500," Added via phone Yesterday, Ad ID: 1221814707 "," Nalasopara East, Mumbai ", Honda CB 25874 Kms 2013 year ," Brand: Honda Model: CB Year: 2013 KM Driven: 25,874 km "
 2008 Bajaj Platina 16500 Kms ,17000," Added via phone Yesterday, Ad ID: 1221842311 "," Vasai West, Mumbai ", 2008 Bajaj Platina 16500 Kms ," Brand: Bajaj Model: Platina Year: 2008 KM Driven: 16,500 km "
Item,Price,Ad ID,Location,Model,Details
 No Offers Price Is Fixed 2012 model Ducati ,450000," Added via phone on 28 May, Ad ID: 1221136369 "," Mulund West, Mumbai ", No Offers Price Is Fixed 2012 model Ducati ," Brand: Other Brands Year: 2012 KM Driven: 8,000 km "
 Honda Others 18000 Kms 2010 year October ,22000," Added via phone Yesterday, Ad ID: 1221858971 "," Tunga Village, Mumbai ", Honda Others 18000 Kms 2010 year October ," Brand: Honda Model: Others Year: 2010 KM Driven: 18,000 km "
 2018 Apache RR 310. Bullet Raja Bikes MULUND ,235000," Added via phone on 12 May, Ad ID: 1210587879 "," Mulund West, Mumbai ", 2018 Apache RR 310. Bullet Raja Bikes MULUND ," Brand: KTM Model: Others Year: 2018 KM Driven: 1,800 km "
 Bajaj Pulsar 15000 Kms 2014 year ,35000," Added via phone Yesterday, Ad ID: 1221861237 "," Andheri East, Mumbai ", Bajaj Pulsar 15000 Kms 2014 year ," Brand: Bajaj Model: Pulsar Year: 2014 KM Driven: 15,000 km "
" Bajaj Others 45000 Kms 2007 year 82917,67727 ",16500," Added via phone Yesterday, Ad ID: 1206719579 "," Vile Parle East, Mumbai "," Bajaj Others 45000 Kms 2007 year 82917,67727 "," Brand: Bajaj Model: Others Year: 2007 KM Driven: 47,000 km "
 2015 March KTM Rc 200 2nd owner insurance valid ,95000," Added via phone Yesterday, Ad ID: 1221862045 "," Goregaon East, Mumbai ", 2015 March KTM Rc 200 2nd owner insurance valid ," Brand: KTM Model: RC Year: 2015 KM Driven: 37,000 km "
 Bajaj Pulsar 20000 Kms 2009 year ,8000," Added via phone Yesterday, Ad ID: 1217683967 "," Jogeshwari East, Mumbai ", Bajaj Pulsar 20000 Kms 2009 year ," Brand: Bajaj Model: Pulsar Year: 2009 KM Driven: 20,000 km "
 Bajaj Pulsar 42000 Kms 2011 year ,22000," Added via phone Yesterday, Ad ID: 1217937285 "," Vasai East, Mumbai ", Bajaj Pulsar 42000 Kms 2011 year ," Brand: Bajaj Model: Pulsar Year: 2011 KM Driven: 42,000 km "
 2015 Honda Others 31000 Kms ,34000," Added via phone Yesterday, Ad ID: 1221850643 "," Bhandup West, Mumbai ", 2015 Honda Others 31000 Kms ," Brand: Honda Model: Others Year: 2015 KM Driven: 31,000 km "
