Date,Open,High,Low,Close,Volume,High-Low,Open-Close
03-06-2016,478.75,481.80,477.70,478.98,288778,4.10,-0.23
02-06-2016,478.05,478.63,472.63,478.00,344552,6.00,0.05
01-06-2016,479.40,483.25,475.63,476.65,375492,7.62,2.75
31-05-2016,484.45,486.25,478.10,479.48,12112,8.15,4.97
30-05-2016,487.50,490.73,483.00,484.73,430578,7.73,2.77
27-05-2016,475.75,487.85,474.75,486.33,612816,13.10,-10.58
26-05-2016,475.28,476.50,472.13,473.33,393860,4.37,1.95
25-05-2016,474.60,475.95,470.80,474.63,363358,5.15,-0.03
24-05-2016,465.45,471.68,464.50,470.03,382960,7.18,-4.58
23-05-2016,469.20,470.00,462.85,465.00,958714,7.15,4.20
20-05-2016,475.58,477.30,466.18,467.05,761072,11.12,8.53
19-05-2016,485.58,485.85,473.08,475.28,415518,12.77,10.30
18-05-2016,483.50,486.38,482.60,485.08,292076,3.78,-1.58
17-05-2016,490.00,491.65,483.33,485.10,352162,8.32,4.90
16-05-2016,489.13,491.03,486.00,488.08,364854,5.03,1.05
13-05-2016,494.00,495.45,487.75,489.00,373746,7.70,5.00
12-05-2016,488.50,496.23,487.85,495.53,437288,8.38,-7.03
11-05-2016,486.50,490.23,485.50,487.43,311364,4.73,-0.93
10-05-2016,491.00,492.43,489.03,490.68,221954,3.40,0.32
09-05-2016,487.50,493.00,486.25,491.48,373320,6.75,-3.98
06-05-2016,487.50,488.48,483.75,484.58,451776,4.73,2.92
05-05-2016,491.13,491.75,485.55,487.53,506244,6.20,3.60
04-05-2016,488.00,491.83,487.13,488.75,454560,4.70,-0.75
03-05-2016,494.90,497.35,486.30,488.03,564272,11.05,6.87
02-05-2016,490.70,496.25,488.53,493.15,451034,7.72,-2.45
29-04-2016,497.85,499.38,488.93,491.28,954000,10.45,6.57
28-04-2016,509.85,509.85,496.00,498.68,1353818,13.85,11.17
27-04-2016,509.95,512.93,507.55,509.85,438500,5.38,0.10
26-04-2016,508.50,511.93,504.00,508.40,823070,7.93,0.10
25-04-2016,521.35,522.45,506.38,508.08,1257686,16.07,13.27
22-04-2016,520.50,523.88,515.25,519.38,484426,8.63,1.12
21-04-2016,522.45,525.75,517.50,520.45,464158,8.25,2.00
20-04-2016,534.10,535.00,517.68,519.15,523626,17.32,14.95
18-04-2016,532.73,532.85,527.50,530.88,750096,5.35,1.85
13-04-2016,526.00,534.15,526.00,532.73,842954,8.15,-6.73
